2024_04_18__14:56:09.285416: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: sim, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2024_04_18__14:56:31.078901: Iter 61, FPS: 5.8, STATE: {'speed': 6.218132019042969, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 5.7958232747482645, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.044175454352529175, 'throttle': 0.0, 'brake': 0.12181320190429688}
2024_04_18__14:56:31.186670: Iter 62, FPS: 8.1, STATE: {'speed': 7.174692153930664, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.08604439097837, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.1359122317696438, 'throttle': 0.0, 'brake': 0.2174692153930664}
2024_04_18__14:56:31.288340: Iter 63, FPS: 9.5, STATE: {'speed': 7.6978678703308105, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.454125793421811, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.1736605660933387, 'throttle': 0.0, 'brake': 0.26978678703308107}
2024_04_18__14:56:31.396053: Iter 64, FPS: 9.8, STATE: {'speed': 7.754327774047852, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.835717434738156, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.15321769138863955, 'throttle': 0.0, 'brake': 0.27543277740478517}
2024_04_18__14:56:31.527642: Iter 65, FPS: 9.3, STATE: {'speed': 7.2369608879089355, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.283993465817282, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.34347293006375834, 'throttle': 0.0, 'brake': 0.22369608879089356}
2024_04_18__14:56:31.661796: Iter 66, FPS: 7.6, STATE: {'speed': 6.561376571655273, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.599533262308032, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.3240606800996152, 'throttle': 0.0, 'brake': 0.15613765716552735}
2024_04_18__14:56:31.772541: Iter 67, FPS: 7.5, STATE: {'speed': 5.976222991943359, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.509769692021493, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.20301506357851806, 'throttle': 0.0, 'brake': 0.09762229919433595}
2024_04_18__14:56:31.875241: Iter 68, FPS: 9.0, STATE: {'speed': 5.605507850646973, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.0297568557884, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.0857113653857352, 'throttle': 0.0, 'brake': 0.06055078506469727}
2024_04_18__14:56:31.998948: Iter 69, FPS: 9.8, STATE: {'speed': 5.396901607513428, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.830208003749927, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.015362692887463836, 'throttle': 0.0, 'brake': 0.039690160751342775}
2024_04_18__14:56:32.121685: Iter 70, FPS: 8.1, STATE: {'speed': 5.204751014709473, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.083675589416048, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.06322616974458645, 'throttle': 0.0, 'brake': 0.020475101470947266}
2024_04_18__14:56:32.231358: Iter 71, FPS: 8.2, STATE: {'speed': 5.0221638679504395, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.211630930192491, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.0677426585110174, 'throttle': 0.0, 'brake': 0.0022163867950439455}
