2024_04_18__16:27:19.418129: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: sim, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2024_04_18__16:27:32.016738: Iter 42, FPS: 11.5, STATE: {'status': 'as_driving', 'speed': 5.579976558685303, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.52192688474513, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.745554821390315, 'throttle': 0.0, 'brake': 0.05799765586853028}
2024_04_18__16:27:32.110462: Iter 43, FPS: 12.2, STATE: {'status': 'as_driving', 'speed': 5.310641288757324, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.155641211418635, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.5753648244111084, 'throttle': 0.0, 'brake': 0.031064128875732424}
2024_04_18__16:27:32.197822: Iter 44, FPS: 10.8, STATE: {'status': 'as_driving', 'speed': 5.005618572235107, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.781302453506754, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.42395965791159984, 'throttle': 0.0, 'brake': 0.0005618572235107422}
2024_04_18__16:27:32.292570: Iter 45, FPS: 11.3, STATE: {'status': 'as_driving', 'speed': 4.813945770263672, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.317603885590934, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.315379305675451, 'throttle': 0.0, 'brake': 0.0005618572235107422}
2024_04_18__16:27:32.381333: Iter 46, FPS: 10.6, STATE: {'status': 'as_driving', 'speed': 4.97019624710083, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.554416479197178, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.16409476967837128, 'throttle': 0.0, 'brake': 0.0005618572235107422}
2024_04_18__16:27:32.461147: Iter 47, FPS: 11.4, STATE: {'status': 'as_driving', 'speed': 6.089805603027344, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.393973638744308, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.055133811007122, 'throttle': 0.0, 'brake': 0.10898056030273438}
2024_04_18__16:27:32.549929: Iter 48, FPS: 12.5, STATE: {'status': 'as_driving', 'speed': 6.89971923828125, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.529136944235342, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.6920159773770738, 'throttle': 0.0, 'brake': 0.189971923828125}
2024_04_18__16:27:32.640298: Iter 49, FPS: 11.1, STATE: {'status': 'as_driving', 'speed': 7.603403091430664, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.135547006708986, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1, 'throttle': 0.0, 'brake': 0.26034030914306644}
2024_04_18__16:27:32.723518: Iter 50, FPS: 11.2, STATE: {'status': 'as_driving', 'speed': 8.16373348236084, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.192182584262167, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1, 'throttle': 0.0, 'brake': 0.316373348236084}
2024_04_18__16:27:32.808290: Iter 51, FPS: 11.9, STATE: {'status': 'as_driving', 'speed': 7.881490707397461, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.874009863150206, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1, 'throttle': 0.0, 'brake': 0.2881490707397461}
2024_04_18__16:27:32.894613: Iter 52, FPS: 11.8, STATE: {'status': 'as_driving', 'speed': 7.262103080749512, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.795967612656826, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1, 'throttle': 0.0, 'brake': 0.22621030807495118}
2024_04_18__16:27:32.978384: Iter 53, FPS: 11.7, STATE: {'status': 'as_driving', 'speed': 6.663633823394775, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.720090646681923, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1, 'throttle': 0.0, 'brake': 0.16636338233947756}
2024_04_18__16:27:33.064118: Iter 54, FPS: 11.9, STATE: {'status': 'as_driving', 'speed': 6.171095848083496, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.93730664473291, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1, 'throttle': 0.0, 'brake': 0.11710958480834961}
2024_04_18__16:27:33.145900: Iter 55, FPS: 11.7, STATE: {'status': 'as_driving', 'speed': 5.496229648590088, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.663966406651928, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1, 'throttle': 0.0, 'brake': 0.04962296485900879}
2024_04_18__16:27:33.228709: Iter 56, FPS: 12.2, STATE: {'status': 'as_driving', 'speed': 5.190018653869629, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.22772115586445, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1, 'throttle': 0.0, 'brake': 0.019001865386962892}
2024_04_18__16:27:33.305516: Iter 57, FPS: 12.1, STATE: {'status': 'as_driving', 'speed': 4.926172256469727, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.07598624922983, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1, 'throttle': 0.0, 'brake': 0.019001865386962892}
