2024_04_16__11:09:48.660123: CONFIG: CAN_MODE = 0, CAMERA_MODE = 2, CAM_INDEX = 0, VISUALIZE = 1, MISSION_SELECTED = 0
2024_04_16__11:09:55.911199: Iter 71, FPS: 25.2, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 25.181789254387283, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:55.953675: Iter 72, FPS: 21.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 21.14181733866293, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:55.998184: Iter 73, FPS: 24.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 24.10852071550099, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:56.040684: Iter 74, FPS: 21.9, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 21.937883780532456, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:56.083897: Iter 75, FPS: 24.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 24.290304272791502, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:56.124092: Iter 76, FPS: 23.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 23.14111526132558, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:56.173956: Iter 77, FPS: 24.9, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 24.878723530458508, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:56.218804: Iter 78, FPS: 20.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 20.054430876038747, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:56.259649: Iter 79, FPS: 22.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 22.29755563352578, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:56.300422: Iter 80, FPS: 24.5, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 24.48270749546163, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.0}
