2024_04_18__16:33:04.709778: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: sim, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2024_04_18__16:33:16.267362: Iter 38, FPS: 11.9, STATE: {'status': 'as_driving', 'speed': 7.799855709075928, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.87387540411847, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.06332217060098266, 'throttle': 0.0, 'brake': 0.2799855709075928}
2024_04_18__16:33:16.354595: Iter 39, FPS: 11.7, STATE: {'status': 'as_driving', 'speed': 7.342336177825928, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.730022093576084, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.05000907752594158, 'throttle': 0.0, 'brake': 0.23423361778259277}
2024_04_18__16:33:16.441425: Iter 40, FPS: 11.6, STATE: {'status': 'as_driving', 'speed': 6.733026027679443, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.58990088230499, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.022414444983178794, 'throttle': 0.0, 'brake': 0.17330260276794435}
2024_04_18__16:33:16.529126: Iter 41, FPS: 11.5, STATE: {'status': 'as_driving', 'speed': 6.280467987060547, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.51680166945825, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.005680122958221623, 'throttle': 0.0, 'brake': 0.1280467987060547}
2024_04_18__16:33:16.616891: Iter 42, FPS: 11.3, STATE: {'status': 'as_driving', 'speed': 5.792510986328125, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.274192464525424, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.00702370003535957, 'throttle': 0.0, 'brake': 0.0792510986328125}
2024_04_18__16:33:16.704656: Iter 43, FPS: 11.4, STATE: {'status': 'as_driving', 'speed': 5.513256549835205, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.394128401487595, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.31109431793013176, 'throttle': 0.0, 'brake': 0.05132565498352051}
2024_04_18__16:33:16.793419: Iter 44, FPS: 11.5, STATE: {'status': 'as_driving', 'speed': 5.245523452758789, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.524934534653356, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.32511256867677757, 'throttle': 0.0, 'brake': 0.024552345275878906}
2024_04_18__16:33:16.883178: Iter 45, FPS: 11.1, STATE: {'status': 'as_driving', 'speed': 5.0655999183654785, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.140871071162003, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.3055310154283462, 'throttle': 0.0, 'brake': 0.006559991836547852}
2024_04_18__16:33:16.970944: Iter 46, FPS: 11.3, STATE: {'status': 'as_driving', 'speed': 4.815184116363525, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.266016110793265, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.2755209559597975, 'throttle': 0.0, 'brake': 0.006559991836547852}
2024_04_18__16:33:17.062698: Iter 47, FPS: 11.4, STATE: {'status': 'as_driving', 'speed': 4.699914932250977, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.393880783116328, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.19217246106350244, 'throttle': 0.0, 'brake': 0.006559991836547852}
2024_04_18__16:33:17.147508: Iter 48, FPS: 10.8, STATE: {'status': 'as_driving', 'speed': 5.6739020347595215, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.781551875710107, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.1289200608461647, 'throttle': 0.0, 'brake': 0.06739020347595215}
2024_04_18__16:33:17.236235: Iter 49, FPS: 11.8, STATE: {'status': 'as_driving', 'speed': 6.4704108238220215, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.786950986811599, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.05587024207817026, 'throttle': 0.0, 'brake': 0.14704108238220215}
2024_04_18__16:33:17.322071: Iter 50, FPS: 11.4, STATE: {'status': 'as_driving', 'speed': 7.4479498863220215, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.40249183750588, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.0030472046633541194, 'throttle': 0.0, 'brake': 0.24479498863220217}
2024_04_18__16:33:17.408438: Iter 51, FPS: 11.7, STATE: {'status': 'as_driving', 'speed': 8.035118103027344, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.650197211266041, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.03227956418468103, 'throttle': 0.0, 'brake': 0.3035118103027344}
2024_04_18__16:33:17.499195: Iter 52, FPS: 11.6, STATE: {'status': 'as_driving', 'speed': 8.000075340270996, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.57847895100069, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.3207575424085732, 'throttle': 0.0, 'brake': 0.3000075340270996}
2024_04_18__16:33:17.587959: Iter 53, FPS: 11.0, STATE: {'status': 'as_driving', 'speed': 7.44448184967041, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.018446811081747, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.24204633755098126, 'throttle': 0.0, 'brake': 0.24444818496704102}
2024_04_18__16:33:17.678266: Iter 54, FPS: 11.4, STATE: {'status': 'as_driving', 'speed': 6.920737266540527, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.39391173482416, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.20958881206613245, 'throttle': 0.0, 'brake': 0.19207372665405276}
2024_04_18__16:33:17.767028: Iter 55, FPS: 11.1, STATE: {'status': 'as_driving', 'speed': 6.426352500915527, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.073426758049697, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.16090229635825815, 'throttle': 0.0, 'brake': 0.14263525009155273}
2024_04_18__16:33:17.855849: Iter 56, FPS: 11.3, STATE: {'status': 'as_driving', 'speed': 5.870913505554199, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.266046371704235, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.08574040186107218, 'throttle': 0.0, 'brake': 0.08709135055541993}
2024_04_18__16:33:17.943602: Iter 57, FPS: 11.3, STATE: {'status': 'as_driving', 'speed': 5.568850517272949, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.258546641470538, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.5193720186868703, 'throttle': 0.0, 'brake': 0.056885051727294925}
2024_04_18__16:33:18.028329: Iter 58, FPS: 11.3, STATE: {'status': 'as_driving', 'speed': 5.26668643951416, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.26795313687932, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.4926206743136284, 'throttle': 0.0, 'brake': 0.026668643951416018}
2024_04_18__16:33:18.111108: Iter 59, FPS: 11.8, STATE: {'status': 'as_driving', 'speed': 5.069103717803955, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.802207758953017, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.4976963152994762, 'throttle': 0.0, 'brake': 0.006910371780395508}
2024_04_18__16:33:18.203859: Iter 60, FPS: 12.2, STATE: {'status': 'as_driving', 'speed': 4.887092590332031, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.22772115586445, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.8106574259638546, 'throttle': 0.0, 'brake': 0.006910371780395508}
2024_04_18__16:33:18.294674: Iter 61, FPS: 10.8, STATE: {'status': 'as_driving', 'speed': 4.877460956573486, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.781496447556474, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.7075713362337225, 'throttle': 0.0, 'brake': 0.006910371780395508}
2024_04_18__16:33:18.380388: Iter 62, FPS: 11.0, STATE: {'status': 'as_driving', 'speed': 5.653029441833496, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.01144645369962, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1.0844124737817173, 'throttle': 0.0, 'brake': 0.06530294418334961}
2024_04_18__16:33:18.476131: Iter 63, FPS: 11.7, STATE: {'status': 'as_driving', 'speed': 6.632844924926758, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.66675660414621, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.8995336728729046, 'throttle': 0.0, 'brake': 0.1632844924926758}
2024_04_18__16:33:18.564895: Iter 64, FPS: 10.4, STATE: {'status': 'as_driving', 'speed': 7.384650707244873, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.444556225689654, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.7024824185333172, 'throttle': 0.0, 'brake': 0.2384650707244873}
2024_04_18__16:33:18.647673: Iter 65, FPS: 11.3, STATE: {'status': 'as_driving', 'speed': 7.8352580070495605, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.265895068774997, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.5641211998764797, 'throttle': 0.0, 'brake': 0.2835258007049561}
2024_04_18__16:33:18.732448: Iter 66, FPS: 12.1, STATE: {'status': 'as_driving', 'speed': 7.644872188568115, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.080507839952073, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.42640934222844495, 'throttle': 0.0, 'brake': 0.26448721885681153}
2024_04_18__16:33:18.820213: Iter 67, FPS: 11.8, STATE: {'status': 'as_driving', 'speed': 7.235390663146973, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.795834915278071, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.3800687806039703, 'throttle': 0.0, 'brake': 0.22353906631469728}
2024_04_18__16:33:18.907036: Iter 68, FPS: 11.4, STATE: {'status': 'as_driving', 'speed': 6.49029541015625, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.394066495885774, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.11315364692108781, 'throttle': 0.0, 'brake': 0.14902954101562502}
2024_04_18__16:33:19.000824: Iter 69, FPS: 11.5, STATE: {'status': 'as_driving', 'speed': 6.109085559844971, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.517687183176719, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.045824472086503365, 'throttle': 0.0, 'brake': 0.11090855598449707}
2024_04_18__16:33:19.093128: Iter 70, FPS: 10.6, STATE: {'status': 'as_driving', 'speed': 5.674352169036865, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.55423057082825, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.133774166778592, 'throttle': 0.0, 'brake': 0.06743521690368652}
2024_04_18__16:33:19.182133: Iter 71, FPS: 10.9, STATE: {'status': 'as_driving', 'speed': 5.32169771194458, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.9477838478384, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.18695674621108643, 'throttle': 0.0, 'brake': 0.03216977119445801}
2024_04_18__16:33:19.269863: Iter 72, FPS: 11.2, STATE: {'status': 'as_driving', 'speed': 5.11814022064209, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.235294590359349, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.5899118149811313, 'throttle': 0.0, 'brake': 0.011814022064208986}
2024_04_18__16:33:19.354183: Iter 73, FPS: 11.4, STATE: {'status': 'as_driving', 'speed': 4.860694408416748, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.398649328061094, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.5675350849899008, 'throttle': 0.0, 'brake': 0.011814022064208986}
2024_04_18__16:33:19.442910: Iter 74, FPS: 11.7, STATE: {'status': 'as_driving', 'speed': 4.927005767822266, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.725824578275528, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.5453473235977562, 'throttle': 0.0, 'brake': 0.011814022064208986}
2024_04_18__16:33:19.530675: Iter 75, FPS: 11.3, STATE: {'status': 'as_driving', 'speed': 5.86621618270874, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.265864808676827, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.4825256347858277, 'throttle': 0.0, 'brake': 0.08662161827087403}
