2024_04_16__19:27:17.588537: CONFIG: CAN_MODE = 0, CAMERA_MODE = 2, CAM_INDEX = 0, VISUALIZE = 1, MISSION_SELECTED = 0
2024_04_16__19:27:22.983062: Iter 41, FPS: 11.3, STATE: {'speed': 6.338702201843262, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.341504898342162, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.38901962113202226, 'throttle': 0.0, 'brake': 0.13387022018432618}
2024_04_16__19:27:23.078772: Iter 42, FPS: 11.6, STATE: {'speed': 5.927791118621826, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.607220640205007, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.4870384479732023, 'throttle': 0.0, 'brake': 0.09277911186218263}
2024_04_16__19:27:23.169971: Iter 43, FPS: 10.4, STATE: {'speed': 5.553787708282471, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.448250779700874, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.44556138899093833, 'throttle': 0.0, 'brake': 0.055378770828247076}
2024_04_16__19:27:23.261688: Iter 44, FPS: 11.1, STATE: {'speed': 5.192712306976318, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.085924222601065, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.37175719322016965, 'throttle': 0.0, 'brake': 0.019271230697631838}
2024_04_16__19:27:23.351730: Iter 45, FPS: 10.8, STATE: {'speed': 5.0183796882629395, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.785793819576057, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.25386371105920247, 'throttle': 0.0, 'brake': 0.0018379688262939453}
2024_04_16__19:27:23.440488: Iter 46, FPS: 11.2, STATE: {'speed': 4.856716632843018, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.230391080599125, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.15481829543039594, 'throttle': 0.0, 'brake': 0.0018379688262939453}
2024_04_16__19:27:23.517320: Iter 47, FPS: 11.3, STATE: {'speed': 4.766823768615723, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.266560832064124, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.07001447951487394, 'throttle': 0.0, 'brake': 0.0018379688262939453}
2024_04_16__19:27:23.609098: Iter 48, FPS: 13.0, STATE: {'speed': 5.242948055267334, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 13.015400751574054, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.0067287266626814835, 'throttle': 0.0, 'brake': 0.0242948055267334}
2024_04_16__19:27:23.693389: Iter 49, FPS: 11.0, STATE: {'speed': 6.508957386016846, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.016710355587541, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.3202657240360399, 'throttle': 0.0, 'brake': 0.1508957386016846}
2024_04_16__19:27:23.784083: Iter 50, FPS: 12.0, STATE: {'speed': 7.340306282043457, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.996476254762204, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.2506895738613929, 'throttle': 0.0, 'brake': 0.23403062820434573}
2024_04_16__19:27:23.876409: Iter 51, FPS: 11.1, STATE: {'speed': 7.966806888580322, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.140634337971829, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.17913849425251382, 'throttle': 0.0, 'brake': 0.2966806888580322}
2024_04_16__19:27:23.968943: Iter 52, FPS: 10.9, STATE: {'speed': 7.987632751464844, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.949784492323436, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.12162775837236911, 'throttle': 0.0, 'brake': 0.2987632751464844}
2024_04_16__19:27:24.052718: Iter 53, FPS: 10.8, STATE: {'speed': 7.528051376342773, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.8068309474487, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.0516764044643076, 'throttle': 0.0, 'brake': 0.25280513763427737}
2024_04_16__19:27:24.144805: Iter 54, FPS: 12.1, STATE: {'speed': 7.08283805847168, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.074074287309898, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.014396710795461232, 'throttle': 0.0, 'brake': 0.208283805847168}
2024_04_16__19:27:24.240578: Iter 55, FPS: 11.0, STATE: {'speed': 6.37424898147583, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.977496977088688, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.0719263258380129, 'throttle': 0.0, 'brake': 0.13742489814758302}
2024_04_16__19:27:24.325006: Iter 56, FPS: 10.3, STATE: {'speed': 5.958856105804443, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.333546854828379, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.37501391150055285, 'throttle': 0.0, 'brake': 0.09588561058044434}
2024_04_16__19:27:24.412326: Iter 57, FPS: 12.0, STATE: {'speed': 5.636255264282227, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.986191445097278, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.5862739792295978, 'throttle': 0.0, 'brake': 0.06362552642822265}
2024_04_16__19:27:24.506312: Iter 58, FPS: 11.6, STATE: {'speed': 5.3593926429748535, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.593809343479714, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.5362390464105697, 'throttle': 0.0, 'brake': 0.035939264297485354}
2024_04_16__19:27:24.601059: Iter 59, FPS: 10.6, STATE: {'speed': 5.026353359222412, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.639878642131272, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.4869358149399132, 'throttle': 0.0, 'brake': 0.0026353359222412113}
2024_04_16__19:27:24.687876: Iter 60, FPS: 10.6, STATE: {'speed': 4.784859657287598, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.554522715491427, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.9237341033209413, 'throttle': 0.0, 'brake': 0.0026353359222412113}
2024_04_16__19:27:24.778632: Iter 61, FPS: 11.4, STATE: {'speed': 4.6556396484375, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.387570149026805, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.7933784418998717, 'throttle': 0.0, 'brake': 0.0026353359222412113}
2024_04_16__19:27:24.865575: Iter 62, FPS: 11.0, STATE: {'speed': 5.6728081703186035, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.01853364822584, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.6420243682046407, 'throttle': 0.0, 'brake': 0.06728081703186035}
2024_04_16__19:27:24.948354: Iter 63, FPS: 11.6, STATE: {'speed': 6.462252140045166, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.635330670217488, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.5336247224265995, 'throttle': 0.0, 'brake': 0.1462252140045166}
